sub_ux_id,user_id,ux_start_date,ux_end_date,sub_type,download_id,date,datetime,user_id,session_id,resource_id,career_id,country_id
21446875,552421,2023-06-21,2023-07-20,2,1571132118,2023-07-21,2023-07-21 00:41:45,552421,s3isaj4jthceeo6dargp8e3t3b-0,1448944,735,12
21446875,552421,2023-06-21,2023-07-20,2,1571133957,2023-07-21,2023-07-21 00:47:41,552421,s3isaj4jthceeo6dargp8e3t3b-0,1692061,735,12
21447180,10024923,2023-06-21,2023-07-20,2,1571136782,2023-07-21,2023-07-21 00:56:37,10024923,oscrnppnu309k5g0uu3pvruf7i-0,1803501,38,12
21447321,17797544,2023-06-21,2023-07-20,2,1571123917,2023-07-21,2023-07-21 00:18:38,17797544,a8r9vjf2psub96i7j9o6ila6an-0,2080147,735,12
21447321,17797544,2023-06-21,2023-07-20,2,1571124511,2023-07-21,2023-07-21 00:20:18,17797544,a8r9vjf2psub96i7j9o6ila6an-0,384211,735,12
21449467,216787,2023-06-21,2023-07-20,2,1571125828,2023-07-21,2023-07-21 00:23:55,216787,fuaphhaf5n3e6l4qirtp30jo3p-0,3635988,41,12
21449467,216787,2023-06-21,2023-07-20,2,1571126072,2023-07-21,2023-07-21 00:24:32,216787,fuaphhaf5n3e6l4qirtp30jo3p-0,6700269,41,12
21449467,216787,2023-06-21,2023-07-20,2,1571126284,2023-07-21,2023-07-21 00:25:08,216787,fuaphhaf5n3e6l4qirtp30jo3p-0,1455284,41,12
21449693,1275583,2023-06-21,2023-07-20,2,1571120239,2023-07-21,2023-07-21 00:07:22,1275583,7n2tmv43b7bbtb81mf7c1nf6fm-0,6643735,40,12
21449695,13544715,2023-06-21,2023-07-20,2,1571136791,2023-07-21,2023-07-21 00:56:38,13544715,f4j1q97bu81ft98oul051a0gk0-0,3105854,735,12
21450414,2091096,2023-06-21,2023-07-20,2,1571131366,2023-07-21,2023-07-21 00:39:20,2091096,e7nbp6569ivb67jp7gno7ca4up-0,6375783,40,12
21450437,12449922,2023-06-21,2023-07-20,2,1571122057,2023-07-21,2023-07-21 00:13:05,12449922,gn5djdfqrn6u3vlkql4ok6gjpi-0,6771542,781,12
21450437,12449922,2023-06-21,2023-07-20,2,1571122809,2023-07-21,2023-07-21 00:15:19,12449922,gn5djdfqrn6u3vlkql4ok6gjpi-0,75996,781,12
